"Reference","Value","Datasheet","Footprint","Qty","DNP"
"BT1","Battery_Cell","~","Battery:BatteryHolder_Keystone_1042_1x18650","1",""
"C1,C2,C3,C4,C8,C9,C10,C11","10uF","~","Capacitor_SMD:C_0805_2012Metric","8",""
"C5,C6,C7","22uF","~","Capacitor_Tantalum_SMD:CP_EIA-3528-15_AVX-H_Pad1.50x2.35mm_HandSolder","3",""
"D1,D2,D3,D4,D5","LED","~","LED_SMD:LED_0805_2012Metric","5",""
"J1","2.54mm","~","Connector_PinHeader_2.54mm:PinHeader_2x10_P2.54mm_Horizontal","1",""
"L1","2R2","~","Inductor_SMD:L_10.4x10.4_H4.8","1",""
"P1","USB_C_Plug_USB2.0","https://www.usb.org/sites/default/files/documents/usb_type-c.zip","Connector_USB:USB_C_Receptacle_GCT_USB4125-xx-x_6P_TopMnt_Horizontal","1",""
"Q1","SI2301DS","https://ngspice.sourceforge.io/docs/ngspice-html-manual/manual.xhtml#cha_MOSFETs","Package_TO_SOT_SMD:TSOT-23","1",""
"R1,R3,R4,R5,R6,R7,R8,R9,R11,R12,R13,R14,R15,R16,R17","10K","~","Resistor_SMD:R_0805_2012Metric","15",""
"R2,R10","2R","~","Resistor_SMD:R_0805_2012Metric","2",""
"SW1,SW2,SW3,SW4,SW5,SW6,SW7,SW8,SW9,SW10,SW11,SW12,SW13","SW_Push","~","-- mixed values --","13",""
"U1,U7","COM-09032","","Joystick:Joystick","2",""
"U2","IP5306","","Package_SO:SOIC-8-1EP_3.9x4.9mm_P1.27mm_EP2.41x3.3mm_ThermalVias","1",""
"U3,U4,U6","~","","-- mixed values --","3",""
"U5","LC709203FQH-02TWG","https://www.onsemi.com/download/data-sheet/pdf/lc709203f-d.pdf","Package_DFN_QFN:WDFN-8-1EP_4x3mm_P0.65mm_EP2.4x1.8mm_ThermalVias","1",""
